customer_id,event_day,store_id,store,project_category,area_id,gender,age,age_category,event_type,product_id,product_name,company,time_duration,num_touch,in_time,out_time,buy_flag
20201026-010001,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,6.2,0.0,08:01:50.200,08:01:56.400,0
20201026-010003,2020/10/26,10,レインボーマーケット新日本,飲料,,man,50's,Middle,1,,,,14.2,0.0,08:02:57.800,08:03:12.000,0
20201026-010004,2020/10/26,10,レインボーマーケット新日本,飲料,,man,10's,Teen,1,,,,21.0,0.0,08:06:13.200,08:06:34.200,0
20201026-010005,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,19.2,0.0,08:07:06.000,08:07:25.200,0
20201026-010006,2020/10/26,10,レインボーマーケット新日本,飲料,,man,40's,Middle,1,,,,19.8,0.0,08:07:13.000,08:07:32.800,0
20201026-010007,2020/10/26,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,78.6,0.0,08:10:19.200,08:11:37.800,0
20201026-010008,2020/10/26,10,レインボーマーケット新日本,飲料,,man,40's,Middle,1,,,,21.2,0.0,08:10:32.600,08:10:53.800,0
20201026-010009,2020/10/26,10,レインボーマーケット新日本,飲料,,man,50's,Middle,1,,,,6.4,0.0,08:10:57.600,08:11:04.000,0
20201026-010010,2020/10/26,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,11.0,0.0,08:11:19.200,08:11:30.200,0
20201026-010011,2020/10/26,10,レインボーマーケット新日本,飲料,,man,50's,Middle,1,,,,19.4,0.0,08:11:34.400,08:11:53.800,0
20201026-010013,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,20's,Young,1,,,,13.2,0.0,08:14:23.200,08:14:36.400,0
20201026-010014,2020/10/26,10,レインボーマーケット新日本,飲料,,man,50's,Middle,1,,,,9.4,0.0,08:16:22.000,08:16:31.400,0
20201026-010015,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,25.2,0.0,08:17:37.800,08:18:03.000,0
20201026-010017,2020/10/26,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,58.4,0.0,08:19:15.000,08:20:13.400,0
20201026-010019,2020/10/26,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,93.8,0.0,08:20:36.600,08:22:10.400,0
20201026-010020,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,42.8,0.0,08:20:59.800,08:21:42.600,0
20201026-010021,2020/10/26,10,レインボーマーケット新日本,飲料,,man,10's,Teen,1,,,,12.6,0.0,08:21:58.600,08:22:11.200,0
20201026-010023,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,10's,Teen,1,,,,2.6,0.0,08:22:03.200,08:22:05.800,0
20201026-010024,2020/10/26,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,20.4,0.0,08:23:49.400,08:24:09.800,0
20201026-010025,2020/10/26,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,8.2,0.0,08:24:17.400,08:24:25.600,0
20201026-010026,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,40's,Middle,1,,,,25.0,0.0,08:24:54.800,08:25:19.800,0
20201026-010027,2020/10/26,10,レインボーマーケット新日本,飲料,,man,40's,Middle,1,,,,7.2,0.0,08:25:16.800,08:25:24.000,0
20201026-010030,2020/10/26,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,5.8,0.0,08:31:04.200,08:31:10.000,0
20201026-010031,2020/10/26,10,レインボーマーケット新日本,飲料,,man,40's,Middle,1,,,,57.0,0.0,08:31:10.800,08:32:07.800,0
20201026-010032,2020/10/26,10,レインボーマーケット新日本,飲料,,man,50's,Middle,1,,,,23.2,0.0,08:31:38.000,08:32:01.200,0
20201026-010033,2020/10/26,10,レインボーマーケット新日本,飲料,,man,40's,Middle,1,,,,55.4,0.0,08:32:13.600,08:33:09.000,0
20201026-010034,2020/10/26,10,レインボーマーケット新日本,飲料,,man,50's,Middle,1,,,,7.4,0.0,08:32:17.400,08:32:24.800,0
20201026-010035,2020/10/26,10,レインボーマーケット新日本,飲料,,man,50's,Middle,1,,,,26.4,0.0,08:33:29.200,08:33:55.600,0
20201026-010037,2020/10/26,10,レインボーマーケット新日本,飲料,,man,50's,Middle,1,,,,19.0,0.0,08:35:40.000,08:35:59.000,0
20201026-010038,2020/10/26,10,レインボーマーケット新日本,飲料,,man,60's,Senior,1,,,,9.2,0.0,08:36:53.800,08:37:03.000,0
20201026-010039,2020/10/26,10,レインボーマーケット新日本,飲料,,man,40's,Middle,1,,,,11.2,0.0,08:37:49.600,08:38:00.800,0
20201026-010041,2020/10/26,10,レインボーマーケット新日本,飲料,,man,50's,Middle,1,,,,22.0,0.0,08:39:36.400,08:39:58.400,0
20201026-010042,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,40's,Middle,1,,,,34.0,0.0,08:40:20.600,08:40:54.600,0
20201026-010043,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,40's,Middle,1,,,,14.2,0.0,08:41:21.200,08:41:35.400,0
20201026-010045,2020/10/26,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,5.6,0.0,08:44:24.200,08:44:29.800,0
20201026-010046,2020/10/26,10,レインボーマーケット新日本,飲料,,man,Over70's,Senior,1,,,,19.4,0.0,08:44:45.000,08:45:04.400,0
20201026-010048,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,47.0,0.0,08:45:53.600,08:46:40.600,0
20201026-010049,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,40's,Middle,1,,,,8.6,0.0,08:48:44.600,08:48:53.200,0
20201026-010050,2020/10/26,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,23.8,0.0,08:50:13.200,08:50:37.000,0
20201026-010051,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,6.4,0.0,08:50:59.200,08:51:05.600,0
20201026-010053,2020/10/26,10,レインボーマーケット新日本,飲料,,man,40's,Middle,1,,,,25.4,0.0,08:52:28.000,08:52:53.400,0
20201026-010054,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,40's,Middle,1,,,,28.4,0.0,08:53:27.200,08:53:55.600,0
20201026-010055,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,20's,Young,1,,,,10.8,0.0,08:54:42.400,08:54:53.200,0
20201026-010057,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,21.6,0.0,08:56:04.800,08:56:26.400,0
20201026-010058,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,60's,Senior,1,,,,8.4,0.0,08:56:23.200,08:56:31.600,0
20201026-010059,2020/10/26,10,レインボーマーケット新日本,飲料,,man,20's,Young,1,,,,51.2,0.0,08:58:10.400,08:59:01.600,0
20201026-010060,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,60's,Senior,1,,,,96.6,0.0,09:01:05.200,09:02:41.800,0
20201026-010061,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,40's,Middle,1,,,,22.0,0.0,09:01:06.600,09:01:28.600,0
20201026-010063,2020/10/26,10,レインボーマーケット新日本,飲料,,man,Over70's,Senior,1,,,,121.8,0.0,09:06:54.800,09:08:56.600,0
20201026-010064,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,17.6,0.0,09:09:07.200,09:09:24.800,0
20201026-010065,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,40's,Middle,1,,,,21.0,0.0,09:09:08.400,09:09:29.400,0
20201026-010066,2020/10/26,10,レインボーマーケット新日本,飲料,,man,30's,Young,1,,,,12.4,0.0,09:13:59.600,09:14:12.000,0
20201026-010067,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,21.2,0.0,09:14:01.000,09:14:22.200,0
20201026-010068,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,20's,Young,1,,,,65.2,0.0,09:14:34.000,09:15:39.200,0
20201026-010073,2020/10/26,10,レインボーマーケット新日本,飲料,,woman,30's,Young,1,,,,15.4,0.0,09:17:50.200,09:18:05.600,0
20201026-010074,2020/10/26,10,レインボーマーケット新日本,飲料,,man,40's,Middle,1,,,,19.8,0.0,09:19:53.400,09:20:13.200,0
